artist,artist_followers,artist_popularity,duration_ms,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,lyric_total_word_count,lyric_unique_word_count,popularity,release_date,release_year,song_id,song_name,track,win/loss,annualGrammy,GrammyYear
Olivia Newton-John,306735,68,216853,0.965,https://api.spotify.com/v1/audio-analysis/5wOIHAwXD6A5cqLmQJ7YMh,0.357,216853,0.211,5wOIHAwXD6A5cqLmQJ7YMh,0.000186,10,0.0706,-10.319,1,0.0369,133.928,4,https://api.spotify.com/v1/tracks/5wOIHAwXD6A5cqLmQJ7YMh,audio_features,spotify:track:5wOIHAwXD6A5cqLmQJ7YMh,0.172,209,106,44,1/1/05,1974,5wOIHAwXD6A5cqLmQJ7YMh,I Honestly Love You,I Honestly Love You,1,17,1975
Kings of Leon,3574408,78,230760,0.00552,https://api.spotify.com/v1/audio-analysis/5VGlqQANWDKJFl0MBG3sg2,0.276,230760,0.715,5VGlqQANWDKJFl0MBG3sg2,0.000417,0,0.201,-5.356,1,0.0432,137.028,4,https://api.spotify.com/v1/tracks/5VGlqQANWDKJFl0MBG3sg2,audio_features,spotify:track:5VGlqQANWDKJFl0MBG3sg2,0.173,201,70,76,9/23/08,2009,5VGlqQANWDKJFl0MBG3sg2,Use Somebody,Use Somebody,1,52,2010
George Benson,270285,66,196920,0.155,https://api.spotify.com/v1/audio-analysis/7GkaclZPWxJujsylkMetsW,0.469,196920,0.296,7GkaclZPWxJujsylkMetsW,1.61E-05,0,0.0878,-14.146,0,0.0356,180.686,4,https://api.spotify.com/v1/tracks/7GkaclZPWxJujsylkMetsW,audio_features,spotify:track:7GkaclZPWxJujsylkMetsW,0.539,190,72,48,2/27/15,1976,7GkaclZPWxJujsylkMetsW,This Masquerade,This Masquerade,1,19,1977
Céline Dion,1719666,77,280000,0.732,https://api.spotify.com/v1/audio-analysis/3oEHQmhvFLiE7ZYES0ulzv,0.428,280000,0.276,3oEHQmhvFLiE7ZYES0ulzv,5.33E-06,4,0.117,-11.729,1,0.0312,99.195,1,https://api.spotify.com/v1/tracks/3oEHQmhvFLiE7ZYES0ulzv,audio_features,spotify:track:3oEHQmhvFLiE7ZYES0ulzv,0.0382,189,78,71,10/24/97,1998,3oEHQmhvFLiE7ZYES0ulzv,My Heart Will Go On (Love Theme From Titanic),"My Heart Will Go On - Love Theme from ""Titanic""",1,41,1999
Eagles,2291411,78,391376,0.00574,https://api.spotify.com/v1/audio-analysis/40riOy7x9W7GXjyGp4pjAv,0.579,391376,0.508,40riOy7x9W7GXjyGp4pjAv,0.000494,2,0.0575,-9.484,1,0.027,147.125,4,https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv,audio_features,spotify:track:40riOy7x9W7GXjyGp4pjAv,0.609,186,103,81,1976,1977,40riOy7x9W7GXjyGp4pjAv,Hotel California,Hotel California - Remastered,1,20,1978
Whitney Houston,3424877,78,271093,0.844,https://api.spotify.com/v1/audio-analysis/4eHbdreAnSOrDDsFfc4Fpm,0.306,271093,0.214,4eHbdreAnSOrDDsFfc4Fpm,5.30E-06,4,0.0839,-12.518,1,0.0356,66.98,4,https://api.spotify.com/v1/tracks/4eHbdreAnSOrDDsFfc4Fpm,audio_features,spotify:track:4eHbdreAnSOrDDsFfc4Fpm,0.108,181,68,74,11/17/92,1993,4eHbdreAnSOrDDsFfc4Fpm,I Will Always Love You,I Will Always Love You,1,36,1994
Simon & Garfunkel,1534771,74,293120,0.822,https://api.spotify.com/v1/audio-analysis/6l8EbYRtQMgKOyc1gcDHF9,0.149,293120,0.206,6l8EbYRtQMgKOyc1gcDHF9,0.000649,3,0.115,-13.888,1,0.0323,79.764,4,https://api.spotify.com/v1/tracks/6l8EbYRtQMgKOyc1gcDHF9,audio_features,spotify:track:6l8EbYRtQMgKOyc1gcDHF9,0.264,179,84,68,1/26/70,1970,6l8EbYRtQMgKOyc1gcDHF9,Bridge Over Troubled Water,Bridge Over Troubled Water,1,13,1971
Simon & Garfunkel,1534773,74,293120,0.822,https://api.spotify.com/v1/audio-analysis/6l8EbYRtQMgKOyc1gcDHF9,0.149,293120,0.206,6l8EbYRtQMgKOyc1gcDHF9,0.000649,3,0.115,-13.888,1,0.0323,79.764,4,https://api.spotify.com/v1/tracks/6l8EbYRtQMgKOyc1gcDHF9,audio_features,spotify:track:6l8EbYRtQMgKOyc1gcDHF9,0.264,179,84,68,1/26/70,1970,6l8EbYRtQMgKOyc1gcDHF9,Bridge Over Troubled Water,Bridge Over Troubled Water,1,13,1971
Frank Ocean,3864443,83,188323,0.877,https://api.spotify.com/v1/audio-analysis/41cpvQ2GyGb2BRdIRSsTqK,0.24,188324,0.116,41cpvQ2GyGb2BRdIRSsTqK,0.00092,0,0.1,-13.216,1,0.0329,77.349,3,https://api.spotify.com/v1/tracks/41cpvQ2GyGb2BRdIRSsTqK,audio_features,spotify:track:41cpvQ2GyGb2BRdIRSsTqK,0.0937,178,72,67,2/14/18,1961,41cpvQ2GyGb2BRdIRSsTqK,Moon River,Moon River,1,4,1962
Eric Clapton,2317257,75,280000,0.8,https://api.spotify.com/v1/audio-analysis/612VcBshQcy4mpB2utGc3H,0.695,280000,0.336,612VcBshQcy4mpB2utGc3H,0.00264,9,0.701,-12.999,1,0.0313,79.109,4,https://api.spotify.com/v1/tracks/612VcBshQcy4mpB2utGc3H,audio_features,spotify:track:612VcBshQcy4mpB2utGc3H,0.422,178,69,73,8/25/92,1992,612VcBshQcy4mpB2utGc3H,Tears In Heaven,Tears In Heaven,1,35,1993
Frank Sinatra,2544242,82,157866,0.638,https://api.spotify.com/v1/audio-analysis/74VR3AkGPhbYXnxcOYa16x,0.229,157867,0.494,74VR3AkGPhbYXnxcOYa16x,0,5,0.217,-8.22,1,0.0311,80.092,4,https://api.spotify.com/v1/tracks/74VR3AkGPhbYXnxcOYa16x,audio_features,spotify:track:74VR3AkGPhbYXnxcOYa16x,0.526,176,82,65,1966-05,1966,74VR3AkGPhbYXnxcOYa16x,Strangers In The Night,Strangers In The Night,1,9,1967
Roberta Flack,334408,65,260666,0.731,https://api.spotify.com/v1/audio-analysis/0SxFyA4FqmEQqZVuAlg8lf,0.311,260666,0.0264,0SxFyA4FqmEQqZVuAlg8lf,0.00205,0,0.156,-21.644,1,0.037,120.653,4,https://api.spotify.com/v1/tracks/0SxFyA4FqmEQqZVuAlg8lf,audio_features,spotify:track:0SxFyA4FqmEQqZVuAlg8lf,0.139,143,65,61,1969,1972,0SxFyA4FqmEQqZVuAlg8lf,The First Time Ever I Saw Your Face,The First Time Ever I Saw Your Face,1,15,1973
Fugees,523564,69,298773,0.0279,https://api.spotify.com/v1/audio-analysis/0Q0IVlqMV64kNLlwjPj0Hl,0.765,298773,0.29,0Q0IVlqMV64kNLlwjPj0Hl,1.02E-06,4,0.571,-17.117,0,0.139,92.409,4,https://api.spotify.com/v1/tracks/0Q0IVlqMV64kNLlwjPj0Hl,audio_features,spotify:track:0Q0IVlqMV64kNLlwjPj0Hl,0.506,134,106,66,2/21/96,1973,0Q0IVlqMV64kNLlwjPj0Hl,Killing Me Softly With His Song,Killing Me Softly With His Song,1,16,1974
Frank Sinatra,2544241,82,225426,0.867,https://api.spotify.com/v1/audio-analysis/2LnTydfDh8VOvJH7cSLqjS,0.282,225427,0.113,2LnTydfDh8VOvJH7cSLqjS,4.76E-05,0,0.357,-16.69,1,0.0336,67.365,4,https://api.spotify.com/v1/tracks/2LnTydfDh8VOvJH7cSLqjS,audio_features,spotify:track:2LnTydfDh8VOvJH7cSLqjS,0.225,130,46,51,1964,1963,2LnTydfDh8VOvJH7cSLqjS,Days Of Wine And Roses,Three Coins In The Fountain,1,6,1964
Tony Bennett,369983,71,170960,0.955,https://api.spotify.com/v1/audio-analysis/1bYItjcPRtxZs6Ir71O5RB,0.313,170960,0.078,1bYItjcPRtxZs6Ir71O5RB,4.48E-06,0,0.169,-17.583,1,0.0332,128.065,4,https://api.spotify.com/v1/tracks/1bYItjcPRtxZs6Ir71O5RB,audio_features,spotify:track:1bYItjcPRtxZs6Ir71O5RB,0.125,110,78,54,6/18/62,1962,1bYItjcPRtxZs6Ir71O5RB,I Left My Heart In San Francisco,(I Left My Heart) In San Francisco,1,5,1963
Gotye,2123963,68,244973,0.565,https://api.spotify.com/v1/audio-analysis/4wCmqSrbyCgxEXROQE6vtV,0.857,244973,0.517,4wCmqSrbyCgxEXROQE6vtV,0.000195,0,0.102,-6.972,1,0.0384,129.063,4,https://api.spotify.com/v1/tracks/4wCmqSrbyCgxEXROQE6vtV,audio_features,spotify:track:4wCmqSrbyCgxEXROQE6vtV,0.754,88,52,73,1/1/11,2012,4wCmqSrbyCgxEXROQE6vtV,Somebody That I Used To Know,Somebody That I Used To Know - feat. Kimbra,1,55,2013
Paul Desmond,47563,55,271000,0.918,https://api.spotify.com/v1/audio-analysis/6PdC87pNlAOBZFRVhk2c3Q,0.492,271000,0.151,6PdC87pNlAOBZFRVhk2c3Q,0.00352,5,0.11,-18.015,0,0.0421,124.919,3,https://api.spotify.com/v1/tracks/6PdC87pNlAOBZFRVhk2c3Q,audio_features,spotify:track:6PdC87pNlAOBZFRVhk2c3Q,0.214,5,1,49,8/26/97,1965,6PdC87pNlAOBZFRVhk2c3Q,A Taste Of Honey,A Taste of Honey - Live,1,8,1966
